;stop_id;stop_code;stop_name;stop_lat;stop_lon;zone_id;location_type
1;1;NA;Boulevard 9;43.32247348;-1.983020501;1;0
2;2;NA;Urbieta 12;43.31793043;-1.983490911;1;0
3;3;NA;Urbieta 58;43.31415212;-1.980853309;1;0
4;4;NA;Sancho Sabio 12;43.31007591;-1.980156928;1;0
5;5;NA;S.Sabio 28;43.30801025;-1.97974758;1;0
6;6;NA;Madrid 14;43.30449996;-1.976884203;1;0
7;7;NA;Madrid 28;43.30299176;-1.975380678;1;0
8;8;NA;Toribio Alzaga;43.30505633;-1.973656844;1;0
9;9;NA;La Salle;43.30990007;-1.96758267;1;0
10;600;NA;Urbieta 38;43.31617265;-1.982262365;1;0
11;601;NA;Hipica Cuarteles Loiola;43.30684211;-1.965982216;1;0
12;602;NA;Etxadi Parkea II;43.30102034;-1.988593268;1;0
13;603;NA;Elizasu;43.31501646;-1.934410324;1;0
14;604;NA;Txapinene;43.31503619;-1.934594953;1;0
15;606;NA;San Antonio;43.31971905;-1.942418297;1;0
16;607;NA;Luis Pradera 9;43.32087536;-1.946727051;1;0
17;608;NA;Morlans 73;43.30529769;-1.988620987;1;0
18;609;NA;Luis Pradera 1;43.32104294;-1.948302759;1;0
19;610;NA;Morlans Ascensor;43.30781414;-1.98706265;1;0
20;611;NA;Morlans 19;43.30835608;-1.984205355;1;0
21;612;NA;Errondo-Centenario;43.31157032;-1.981130743;1;0
22;613;NA;Garbera II;43.30983926;-1.948064407;1;0
23;616;NA;Errotazar-Illarra;43.30184841;-2.016430672;1;0
24;500;NA;Ubarburu 31;43.30123191;-1.946203235;1;0
25;501;NA;Ubarburu 5;43.30233861;-1.951991102;1;0
26;505;NA;Isturin;43.30962298;-1.995109108;1;0
27;507;NA;Ategorrieta;43.32202938;-1.967623942;1;0
28;508;NA;Plaza San Luis;43.31892476;-1.938325385;1;0
29;509;NA;Mikeletegi 6;43.28693524;-1.985301469;1;0
30;510;NA;Mikeletegi 5;43.28710532;-1.985187708;1;0
31;511;NA;Merkezabal 13;43.30227254;-1.986624519;1;0
32;512;NA;Borroto 20;43.30215669;-1.988796351;1;0
33;513;NA;Frontón Ategorrieta;43.32246372;-1.959908383;1;0
34;514;NA;Bordatxipi-Lore Toki;43.32380087;-1.960403571;1;0
35;515;NA;Larraga Arbola;43.3236418;-1.961725954;1;0
36;516;NA;Rodil 91;43.32473581;-1.963212018;1;0
37;517;NA;Rodil 69;43.32535197;-1.964632248;1;0
38;518;NA;Rodil 55;43.32565122;-1.965860542;1;0
39;519;NA;Manteo;43.32556012;-1.967736818;1;0
40;401;NA;Matigotxotegi-Parking;43.3182471;-1.963593673;1;0
41;522;NA;F. G. Lorca 6;43.31428479;-1.977558588;1;0
42;402;NA;Barcelona 26;43.31109911;-1.971742523;1;0
43;523;NA;Tolaregoia 2;43.31577771;-1.967335177;1;0
44;524;NA;Garro Zubia;43.31788422;-1.946544413;1;0
45;525;NA;Gregorio Ordoñez;43.30583236;-1.973841062;1;0
46;404;NA;San Roque 12;43.31219096;-1.984092157;1;0
47;405;NA;Barcelona 10;43.30927005;-1.971613064;1;0
48;526;NA;Zorroagako Gaina 1;43.30320236;-1.968756343;1;0
49;527;NA;Mendigain;43.30604275;-1.967204088;1;0
50;528;NA;Zorroagako Gaina 2;43.30219679;-1.968082916;1;0
51;529;NA;Ospitaleak-Larrañategi;43.29426874;-1.966626756;1;0
52;410;NA;Leosiñeta;43.312295;-1.937084395;1;0
53;531;NA;Jai Alai 17;43.31972217;-1.968390633;1;0
54;411;NA;Altzako Anbulatorioa;43.31659978;-1.932323221;1;0
55;532;NA;Tolaregoia 42;43.31620282;-1.96555219;1;0
56;533;NA;Zubiaurre 40;43.32014156;-1.957049826;1;0
57;413;NA;Larratxo 98;43.31658882;-1.932113771;1;0
58;534;NA;Txurkoene 3;43.31738032;-1.965322567;1;0
59;535;NA;Virgen del Carmen 46;43.31828735;-1.968044942;1;0
60;536;NA;Errondo 3;43.31057252;-1.981320042;1;0
61;537;NA;Leosiñeta II;43.31204836;-1.936706432;1;0
62;417;NA;Errondo Anoeta;43.30216304;-1.975345281;1;0
63;538;NA;Pasai San Pedro 49;43.32243053;-1.937684676;1;0
64;539;NA;Pasai San Pedro 25;43.32205522;-1.939935829;1;0
65;418;NA;Zorroaga-Anoeta;43.30333154;-1.973106388;1;0
66;540;NA;Larratxo 11;43.31645047;-1.939503003;1;0
67;541;NA;Larratxo 20;43.31438105;-1.93967464;1;0
68;420;NA;Errondo -J.M. Salaberria;43.30260709;-1.980700987;1;0
69;300;NA;Duque de Baena;43.31305726;-1.996544597;1;0
70;421;NA;Zubiaurre Puente;43.31989751;-1.952022299;1;0
71;542;NA;Eskalantegi 15;43.31803487;-1.919262935;1;0
72;301;NA;Sanserreka;43.31133738;-1.993465514;1;0
73;543;NA;Eskalantegi 58;43.31588717;-1.918770735;1;0
74;302;NA;Sanserreka-Polikiroldegia;43.30933977;-1.993621787;1;0
75;423;NA;Katalina Eleizegi 1;43.30632236;-1.98739567;1;0
76;544;NA;Molinao Plaza II;43.31278296;-1.920922072;1;0
77;424;NA;Oriamendi 112;43.28703789;-1.987740304;1;0
78;545;NA;Darieta 141;43.31757471;-1.921071581;1;0
79;303;NA;Rio Deba Ibaia 2;43.3167385;-1.969033049;1;0
80;425;NA;Mikeletegi 12;43.28807586;-1.981929786;1;0
81;304;NA;Melodi P. Baroja;43.30786572;-1.990859488;1;0
82;546;NA;Darieta 13;43.31940771;-1.922568374;1;0
83;426;NA;Poliklinika II;43.29024462;-1.979761105;1;0
84;305;NA;Gipuzkoa Pza 2;43.32151586;-1.982666488;1;0
85;547;NA;Darieta Polideportivo;43.31870623;-1.926490127;1;0
86;427;NA;Poliklinika I;43.29062582;-1.98009988;1;0
87;306;NA;Lazkano 3;43.31079318;-1.988936772;1;0
88;548;NA;Txingurri  29;43.31633211;-1.941305516;1;0
89;307;NA;Izaburu;43.30967134;-1.991396818;1;0
90;428;NA;Intxaurdegi;43.28721894;-1.987848236;1;0
91;549;NA;Txingurri 7;43.31810939;-1.938758879;1;0
92;429;NA;Katxola;43.29132317;-1.99070163;1;0
93;308;NA;Matia Zentroa;43.30393017;-2.00104702;1;0
94;309;NA;Lugaritz 27;43.30285239;-1.999301598;1;0
95;550;NA;Pasai San Pedro-Bidebieta;43.32190103;-1.93981518;1;0
96;430;NA;Oriamendi;43.29953035;-1.991169967;1;0
97;551;NA;Euskadi Etorbidea 5;43.32231825;-1.937230308;1;0
98;310;NA;Lugaritz Euskotren II;43.30216301;-2.001815699;1;0
99;431;NA;Gurutze Alde II;43.30676472;-1.999804593;1;0
100;552;NA;Azkuene 35;43.32580541;-1.938464558;1;0
101;432;NA;Aiete 93;43.30197213;-1.990328205;1;0
102;311;NA;Uniber T.70 II;43.30704103;-2.008788643;1;0
103;553;NA;Azkuene Plaza;43.32447511;-1.937747713;1;0
104;554;NA;Marrus;43.30682965;-1.94295006;1;0
105;433;NA;Lugaritz - Eusko Tren;43.30216911;-2.001482715;1;0
106;313;NA;Lugaritz-Geriatrico;43.30268936;-1.99919331;1;0
107;434;NA;Oriamendi Etxadi;43.30249997;-1.990960582;1;0
108;555;NA;Zorroagako Gaina 76;43.29855741;-1.965913051;1;0
109;435;NA;Oriamendi 20;43.2988305;-1.991452762;1;0
110;314;NA;Lazkano;43.30935425;-1.990156683;1;0
111;556;NA;Zorroagako Gaina 134;43.29469485;-1.964955326;1;0
112;315;NA;Melodi PB.55;43.30829658;-1.991727808;1;0
113;436;NA;Oriamendi 68;43.2931301;-1.991386723;1;0
114;557;NA;Illarra;43.30352702;-2.018968103;1;0
115;316;NA;Sanserreka 33;43.30935561;-1.993374916;1;0
116;437;NA;Katalina Eleizegi 25;43.30340328;-1.98720987;1;0
