Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 08/06/2020 ; 01:00 ; 00032 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00000 ; 00011 ; 00001 ; 00000 ; 00000
00001 ; 08/06/2020 ; 02:00 ; 00009 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00010 ; 00000 ; 00005 ; 00002 ; 00000 ; 00000
00001 ; 08/06/2020 ; 03:00 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00001 ; 00001 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 08/06/2020 ; 04:00 ; 00014 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00002 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 08/06/2020 ; 05:00 ; 00022 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 08/06/2020 ; 06:00 ; 00101 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00042 ; 00005 ; 00038 ; 00003 ; 00000 ; 00000
00001 ; 08/06/2020 ; 07:00 ; 00205 ; 00020 ; 00000 ; 00000 ; 00000 ; 00000 ; 00065 ; 00011 ; 00111 ; 00008 ; 00000 ; 00000
00001 ; 08/06/2020 ; 08:00 ; 00518 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00296 ; 00017 ; 00400 ; 00017 ; 00000 ; 00000
00001 ; 08/06/2020 ; 09:00 ; 00584 ; 00058 ; 00000 ; 00000 ; 00000 ; 00000 ; 00315 ; 00026 ; 00298 ; 00027 ; 00000 ; 00000
00001 ; 08/06/2020 ; 10:00 ; 00555 ; 00074 ; 00000 ; 00000 ; 00000 ; 00000 ; 00310 ; 00043 ; 00266 ; 00037 ; 00000 ; 00000
00001 ; 08/06/2020 ; 11:00 ; 00678 ; 00068 ; 00000 ; 00000 ; 00000 ; 00000 ; 00359 ; 00035 ; 00196 ; 00034 ; 00000 ; 00000
00001 ; 08/06/2020 ; 12:00 ; 00700 ; 00065 ; 00000 ; 00000 ; 00000 ; 00000 ; 00417 ; 00025 ; 00209 ; 00033 ; 00000 ; 00000
00001 ; 08/06/2020 ; 13:00 ; 00720 ; 00072 ; 00000 ; 00000 ; 00000 ; 00000 ; 00394 ; 00029 ; 00201 ; 00023 ; 00000 ; 00000
00001 ; 08/06/2020 ; 14:00 ; 00772 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00450 ; 00025 ; 00201 ; 00020 ; 00000 ; 00000
00001 ; 08/06/2020 ; 15:00 ; 00703 ; 00056 ; 00000 ; 00000 ; 00000 ; 00000 ; 00403 ; 00027 ; 00251 ; 00021 ; 00000 ; 00000
00001 ; 08/06/2020 ; 16:00 ; 00772 ; 00055 ; 00000 ; 00000 ; 00000 ; 00000 ; 00391 ; 00023 ; 00188 ; 00030 ; 00000 ; 00000
00001 ; 08/06/2020 ; 17:00 ; 00778 ; 00064 ; 00000 ; 00000 ; 00000 ; 00000 ; 00401 ; 00021 ; 00181 ; 00032 ; 00000 ; 00000
00001 ; 08/06/2020 ; 18:00 ; 00888 ; 00053 ; 00000 ; 00000 ; 00000 ; 00000 ; 00504 ; 00024 ; 00189 ; 00032 ; 00000 ; 00000
00001 ; 08/06/2020 ; 19:00 ; 00892 ; 00038 ; 00000 ; 00000 ; 00000 ; 00000 ; 00555 ; 00018 ; 00204 ; 00012 ; 00000 ; 00000
00001 ; 08/06/2020 ; 20:00 ; 00635 ; 00023 ; 00000 ; 00000 ; 00000 ; 00000 ; 00429 ; 00013 ; 00145 ; 00009 ; 00000 ; 00000
00001 ; 08/06/2020 ; 21:00 ; 00430 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00335 ; 00006 ; 00103 ; 00005 ; 00000 ; 00000
00001 ; 08/06/2020 ; 22:00 ; 00240 ; 00007 ; 00000 ; 00000 ; 00000 ; 00000 ; 00163 ; 00005 ; 00090 ; 00006 ; 00000 ; 00000
00001 ; 08/06/2020 ; 23:00 ; 00174 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00082 ; 00002 ; 00045 ; 00004 ; 00000 ; 00000
00001 ; 08/06/2020 ; 24:00 ; 00032 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00021 ; 00002 ; 00006 ; 00000 ; 00000 ; 00000
